entry_date,entry_time,exit_date,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,result,pnl,r_multiple,bars_held,trigger_reason
2022-04-11,19:00:00,2022-04-11,19:45:00,SELL,1951.56,1945.74,1953.55,1945.71,WIN,288.70,2.89,3,Bearish Order Block pineob_bearish_6 touched at 1951.59000
2022-04-11,23:45:00,2022-04-12,03:30:00,SELL,1953.37,1950.45,1954.42,1950.42,WIN,281.61,2.74,11,Bearish Order Block pineob_bearish_8 touched at 1953.42000
2022-04-12,10:15:00,2022-04-12,10:30:00,SELL,1957.58,1955.12,1958.45,1955.09,WIN,296.83,2.81,1,Bearish Order Block pineob_bearish_11 touched at 1957.61000
2022-04-12,15:00:00,2022-04-12,15:15:00,BUY,1956.19,1959.79,1954.94,1959.82,WIN,310.10,2.85,1,Bullish Order Block pineob_bullish_14 touched at 1956.16000
2022-04-12,15:30:00,2022-04-12,15:45:00,SELL,1955.93,1956.60,1956.57,1954.13,LOSS,-121.17,-1.08,1,Bearish Order Block pineob_bearish_15 touched at 1955.96000
2022-04-12,19:00:00,2022-04-12,19:15:00,SELL,1971.82,1973.94,1973.91,1965.67,LOSS,-116.89,-1.06,1,Bearish Order Block pineob_bearish_17 touched at 1971.85000
2022-04-12,22:15:00,2022-04-12,22:30:00,BUY,1967.68,1967.06,1967.09,1969.33,LOSS,-119.07,-1.09,1,Bullish Order Block pineob_bullish_19 touched at 1967.65000
2022-04-18,06:00:00,2022-04-18,06:15:00,SELL,1983.18,1984.13,1984.11,1980.51,LOSS,-116.13,-1.07,1,Bearish Order Block pineob_bearish_50 touched at 1983.21000
2022-04-18,12:00:00,2022-04-18,12:45:00,BUY,1991.99,1993.86,1991.32,1993.88,WIN,296.00,2.77,3,Bullish Order Block pineob_bullish_54 touched at 1991.96000
2022-04-18,16:45:00,2022-04-18,17:00:00,SELL,1992.11,1992.88,1992.86,1989.94,LOSS,-118.64,-1.08,1,Bearish Order Block pineob_bearish_55 touched at 1992.13000
2022-04-18,19:45:00,2022-04-18,20:15:00,SELL,1987.73,1983.08,1989.33,1983.05,WIN,312.91,2.88,2,Bearish Order Block pineob_bearish_57 touched at 1987.76000
2022-04-19,11:00:00,2022-04-19,11:15:00,SELL,1978.37,1979.81,1979.78,1974.22,LOSS,-118.92,-1.06,1,Bearish Order Block pineob_bearish_64 touched at 1978.39000
2022-04-19,11:45:00,2022-04-19,12:00:00,SELL,1979.43,1977.24,1980.21,1977.21,WIN,309.40,2.79,1,Bearish Order Block pineob_bearish_65 touched at 1979.46000
2022-04-19,12:30:00,2022-04-19,13:00:00,SELL,1977.09,1978.10,1978.07,1974.27,LOSS,-121.77,-1.07,2,Bearish Order Block pineob_bearish_66 touched at 1977.12000
2022-04-19,19:00:00,2022-04-19,21:15:00,BUY,1955.69,1953.14,1953.17,1963.13,LOSS,-118.75,-1.05,9,Bullish Order Block pineob_bullish_69 touched at 1955.66000
2022-04-20,03:15:00,2022-04-20,03:30:00,SELL,1948.33,1946.29,1949.06,1946.26,WIN,310.11,2.78,1,Bearish Order Block pineob_bearish_74 touched at 1948.36000
2022-04-20,05:00:00,2022-04-20,05:45:00,BUY,1945.38,1943.97,1944.00,1949.40,LOSS,-121.63,-1.06,3,Bullish Order Block pineob_bullish_77 touched at 1945.35000
2022-04-20,17:45:00,2022-04-20,18:30:00,BUY,1952.73,1950.80,1950.83,1958.31,LOSS,-119.82,-1.06,3,Bullish Order Block pineob_bullish_85 touched at 1952.70000
2022-04-20,21:00:00,2022-04-20,21:45:00,SELL,1952.70,1951.17,1953.26,1951.14,WIN,306.13,2.73,3,Bearish Order Block pineob_bearish_87 touched at 1952.73000
2022-04-21,09:00:00,2022-04-21,09:15:00,BUY,1952.75,1951.77,1951.80,1955.48,LOSS,-123.24,-1.07,1,Bullish Order Block pineob_bullish_95 touched at 1952.72000
2022-04-21,14:45:00,2022-04-21,15:00:00,SELL,1939.56,1940.17,1940.14,1937.94,LOSS,-123.91,-1.09,1,Bearish Order Block pineob_bearish_97 touched at 1939.59000
2022-04-21,17:15:00,2022-04-21,17:30:00,SELL,1943.36,1944.58,1944.55,1939.87,LOSS,-120.08,-1.07,1,Bearish Order Block pineob_bearish_98 touched at 1943.38000
2022-04-22,03:30:00,2022-04-22,04:00:00,SELL,1950.15,1950.99,1950.96,1947.84,LOSS,-119.98,-1.08,2,Bearish Order Block pineob_bearish_103 touched at 1950.18000
2022-04-25,10:00:00,2022-04-25,10:15:00,BUY,1915.64,1917.24,1915.07,1917.27,WIN,301.97,2.74,1,Bullish Order Block pineob_bullish_120 touched at 1915.62000
2022-04-25,14:30:00,2022-04-25,14:45:00,BUY,1909.56,1908.86,1908.88,1911.48,LOSS,-122.54,-1.08,1,Bullish Order Block pineob_bullish_123 touched at 1909.53000
2022-04-25,19:45:00,2022-04-25,20:00:00,BUY,1896.74,1895.58,1895.61,1900.01,LOSS,-119.60,-1.07,1,Bullish Order Block pineob_bullish_128 touched at 1896.71000
2022-04-25,20:15:00,2022-04-25,20:30:00,SELL,1895.69,1896.83,1896.80,1892.48,LOSS,-118.43,-1.07,1,Bearish Order Block pineob_bearish_129 touched at 1895.72000
