entry_date,entry_time,exit_date,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,result,pnl,r_multiple,bars_held,trigger_reason
2022-04-11,19:00:00,2022-04-11,19:45:00,SELL,1951.56,1945.74,1953.55,1945.71,WIN,288.70,2.89,3,Bearish Order Block pineob_bearish_6 touched at 1951.59000
2022-04-11,23:45:00,2022-04-12,03:30:00,SELL,1953.37,1950.45,1954.42,1950.42,WIN,281.61,2.74,11,Bearish Order Block pineob_bearish_8 touched at 1953.42000
2022-04-12,15:00:00,2022-04-12,15:15:00,BUY,1956.19,1959.79,1954.94,1959.82,WIN,301.50,2.85,1,Bullish Order Block pineob_bullish_14 touched at 1956.16000
2022-04-12,19:00:00,2022-04-12,19:15:00,SELL,1971.82,1973.94,1973.91,1965.67,LOSS,-115.02,-1.06,1,Bearish Order Block pineob_bearish_18 touched at 1971.85000
2022-04-18,19:45:00,2022-04-18,20:15:00,SELL,1987.73,1983.08,1989.33,1983.05,WIN,309.27,2.88,2,Bearish Order Block pineob_bearish_58 touched at 1987.76000
2022-04-19,11:00:00,2022-04-19,11:15:00,SELL,1978.37,1979.81,1979.78,1974.22,LOSS,-117.62,-1.06,1,Bearish Order Block pineob_bearish_65 touched at 1978.39000
2022-04-19,19:00:00,2022-04-19,21:15:00,BUY,1955.69,1953.14,1953.17,1963.13,LOSS,-115.57,-1.06,9,Bullish Order Block pineob_bullish_70 touched at 1955.66000
2022-04-20,05:00:00,2022-04-20,05:45:00,BUY,1945.38,1943.97,1944.00,1949.40,LOSS,-115.30,-1.06,3,Bullish Order Block pineob_bullish_78 touched at 1945.35000
2022-04-20,17:45:00,2022-04-20,18:30:00,BUY,1952.73,1950.80,1950.83,1958.31,LOSS,-113.59,-1.06,3,Bullish Order Block pineob_bullish_86 touched at 1952.70000
2022-04-21,17:15:00,2022-04-21,17:30:00,SELL,1943.36,1944.58,1944.55,1939.87,LOSS,-113.26,-1.07,1,Bearish Order Block pineob_bearish_99 touched at 1943.38000
2022-04-25,19:45:00,2022-04-25,20:00:00,BUY,1896.74,1895.58,1895.61,1900.01,LOSS,-112.24,-1.07,1,Bullish Order Block pineob_bullish_129 touched at 1896.71000
2022-04-25,20:15:00,2022-04-25,20:30:00,SELL,1895.69,1896.83,1896.80,1892.48,LOSS,-111.13,-1.07,1,Bearish Order Block pineob_bearish_130 touched at 1895.72000
2022-04-26,03:15:00,2022-04-26,04:15:00,BUY,1900.39,1899.27,1899.30,1903.58,LOSS,-110.02,-1.07,4,Bullish Order Block pineob_bullish_136 touched at 1900.37000
2022-04-26,17:00:00,2022-04-26,17:15:00,SELL,1906.48,1903.36,1907.57,1903.33,WIN,288.02,2.84,1,Bearish Order Block pineob_bearish_149 touched at 1906.51000
2022-04-28,03:45:00,2022-04-28,05:00:00,SELL,1884.58,1881.43,1885.68,1881.40,WIN,296.44,2.84,5,Bearish Order Block pineob_bearish_165 touched at 1884.61000
2022-04-28,20:15:00,2022-04-28,20:45:00,BUY,1890.09,1888.86,1888.86,1893.78,LOSS,-112.42,-1.05,2,Bullish Order Block pineob_bullish_176 touched at 1890.09000
2022-04-29,12:30:00,2022-04-29,15:15:00,BUY,1915.52,1913.88,1913.90,1920.34,LOSS,-112.28,-1.06,11,Bullish Order Block pineob_bullish_184 touched at 1915.51000
2022-04-29,17:00:00,2022-04-29,17:15:00,BUY,1910.64,1908.88,1908.88,1915.92,LOSS,-110.17,-1.05,1,Bullish Order Block pineob_bullish_185 touched at 1910.64000
2022-05-05,18:15:00,2022-05-05,19:00:00,SELL,1882.86,1874.10,1885.78,1874.10,WIN,307.21,2.95,3,Bearish Order Block pineob_bearish_246 touched at 1882.86000
2022-05-06,03:30:00,2022-05-06,03:45:00,BUY,1875.43,1874.07,1874.12,1879.24,LOSS,-115.82,-1.08,1,Bullish Order Block pineob_bullish_252 touched at 1875.40000
2022-05-06,10:00:00,2022-05-06,10:15:00,SELL,1875.27,1876.37,1876.37,1871.97,LOSS,-110.98,-1.05,1,Bearish Order Block pineob_bearish_257 touched at 1875.27000
2022-05-11,17:45:00,2022-05-11,18:00:00,BUY,1851.40,1848.98,1848.98,1858.66,LOSS,-109.87,-1.05,1,Bullish Order Block pineob_bullish_294 touched at 1851.40000
2022-05-16,11:15:00,2022-05-16,15:45:00,BUY,1798.49,1808.99,1794.99,1808.99,WIN,306.32,2.95,18,Bullish Order Block pineob_bullish_342 touched at 1798.49000
2022-05-17,22:45:00,2022-05-17,23:00:00,BUY,1816.79,1815.70,1815.74,1819.86,LOSS,-115.93,-1.09,1,Bullish Order Block pineob_bullish_357 touched at 1816.77000
2022-05-19,18:30:00,2022-05-19,18:45:00,BUY,1846.77,1845.73,1845.73,1849.89,LOSS,-110.68,-1.05,1,Bullish Order Block pineob_bullish_382 touched at 1846.77000
2022-05-23,12:45:00,2022-05-23,13:15:00,BUY,1863.97,1862.82,1862.82,1867.42,LOSS,-109.57,-1.05,2,Bullish Order Block pineob_bullish_411 touched at 1863.97000
2022-05-25,19:45:00,2022-05-25,20:15:00,SELL,1845.48,1846.49,1846.49,1842.45,LOSS,-108.48,-1.05,2,Bearish Order Block pineob_bearish_445 touched at 1845.48000
