date,session,direction,fvg_upper,fvg_lower,fvg_formed_time_ny,entry_time_ny,entry_price,stop,target,target_type,exit_time_ny,exit_price,exit_reason,r_multiple,pnl_usd
2021-08-27,midnight,LONG,15334.5,15330.3,2021-08-27 00:20,2021-08-27 00:22,15334.5,15328.6,15349.25,FIXED_2.5R,2021-08-27 01:06,15328.6,SL,-1.0,-1000.0
2021-09-01,midnight,LONG,15617.4,15614.4,2021-09-01 00:19,2021-09-01 00:21,15617.4,15613.2,15627.9,FIXED_2.5R,2021-09-01 01:42,15627.9,TP,2.5,2500.0
2021-09-17,midnight,LONG,15535.8,15532.6,2021-09-17 00:21,2021-09-17 00:30,15535.8,15531.9,15545.55,FIXED_2.5R,2021-09-17 01:59,15545.55,TP,2.5,2500.0
2021-09-20,midnight,SHORT,15252.6,15246.2,2021-09-20 00:18,2021-09-20 00:28,15246.2,15254.2,15226.2,FIXED_2.5R,2021-09-20 00:42,15254.2,SL,-1.0,-1000.0
2021-09-29,midnight,SHORT,14852.8,14849.5,2021-09-29 00:14,2021-09-29 00:16,14849.5,14856.8,14831.25,FIXED_2.5R,2021-09-29 00:20,14856.8,SL,-1.0,-1000.0
2021-10-05,midnight,SHORT,14523.1,14518.8,2021-10-05 00:03,2021-10-05 00:05,14518.8,14527.1,14498.05,FIXED_2.5R,2021-10-05 00:31,14498.05,TP,2.5,2500.0
2021-10-06,midnight,SHORT,14589.9,14585.7,2021-10-06 00:27,2021-10-06 00:32,14585.7,14592.6,14568.45,FIXED_2.5R,2021-10-06 00:42,14568.45,TP,2.5,2500.0
2021-10-11,midnight,LONG,14768.7,14765.5,2021-10-11 00:02,2021-10-11 00:04,14768.7,14760.0,14790.45,FIXED_2.5R,2021-10-11 00:57,14790.45,TP,2.5,2500.0
2021-11-09,midnight,LONG,16322.1,16318.9,2021-11-09 00:23,2021-11-09 00:26,16322.1,16317.1,16334.6,FIXED_2.5R,2021-11-09 01:00,16334.6,TP,2.5,2500.0
2021-11-11,midnight,LONG,16012.0,16007.4,2021-11-11 00:12,2021-11-11 03:35,16012.0,16002.6,16035.5,FIXED_2.5R,2021-11-11 03:54,16035.5,TP,2.5,2500.0
2021-11-16,midnight,LONG,16200.6,16197.4,2021-11-16 00:00,2021-11-16 00:14,16200.6,16195.9,16212.35,FIXED_2.5R,2021-11-16 00:19,16195.9,SL,-1.0,-1000.0
2021-11-18,midnight,LONG,16354.2,16351.2,2021-11-18 00:04,2021-11-18 00:06,16354.2,16350.0,16364.7,FIXED_2.5R,2021-11-18 00:18,16350.0,SL,-1.0,-1000.0
2021-11-19,midnight,SHORT,16573.5,16569.9,2021-11-19 00:10,2021-11-19 00:12,16569.9,16575.9,16554.9,FIXED_2.5R,2021-11-19 00:45,16575.9,SL,-1.0,-1000.0
2021-11-24,midnight,LONG,16290.1,16286.6,2021-11-24 00:05,2021-11-24 00:09,16290.1,16284.6,16303.85,FIXED_2.5R,2021-11-24 00:30,16303.85,TP,2.5,2500.0
2021-11-29,midnight,SHORT,16222.2,16218.9,2021-11-29 00:14,2021-11-29 00:16,16218.9,16226.1,16200.9,FIXED_2.5R,2021-11-29 00:23,16200.9,TP,2.5,2500.0
2021-11-30,midnight,SHORT,16390.5,16387.2,2021-11-30 00:11,2021-11-30 09:53,16387.2,16394.7,16368.45,FIXED_2.5R,2021-11-30 09:55,16394.7,SL,-1.0,-1000.0
2021-12-02,midnight,LONG,15946.2,15943.2,2021-12-02 00:24,2021-12-02 00:26,15946.2,15938.7,15964.95,FIXED_2.5R,2021-12-02 01:02,15938.7,SL,-1.0,-1000.0
2021-12-08,midnight,SHORT,16393.3,16390.1,2021-12-08 00:06,2021-12-08 00:08,16390.1,16397.1,16372.6,FIXED_2.5R,2021-12-08 00:29,16397.1,SL,-1.0,-1000.0
2021-12-13,midnight,SHORT,16402.0,16394.4,2021-12-13 00:28,2021-12-13 00:31,16394.4,16404.0,16370.4,FIXED_2.5R,2021-12-13 01:39,16404.0,SL,-1.0,-1000.0
2021-12-15,midnight,SHORT,15943.2,15940.2,2021-12-15 00:09,2021-12-15 00:15,15940.2,15944.2,15930.2,FIXED_2.5R,2021-12-15 00:30,15944.2,SL,-1.0,-1000.0
2021-12-16,midnight,SHORT,16343.6,16340.1,2021-12-16 00:09,2021-12-16 00:11,16340.1,16344.6,16328.85,FIXED_2.5R,2021-12-16 00:30,16344.6,SL,-1.0,-1000.0
2021-12-17,midnight,SHORT,15852.3,15848.1,2021-12-17 00:02,2021-12-17 00:35,15848.1,15858.0,15823.35,FIXED_2.5R,2021-12-17 00:36,15858.0,SL,-1.0,-1000.0
2021-12-20,midnight,SHORT,15645.0,15640.2,2021-12-20 00:00,2021-12-20 00:15,15640.2,15647.5,15621.95,FIXED_2.5R,2021-12-20 00:19,15621.95,TP,2.5,2500.0
2021-12-21,midnight,LONG,15784.5,15781.2,2021-12-21 00:00,2021-12-21 03:00,15784.5,15779.5,15797.0,FIXED_2.5R,2021-12-21 03:00,15779.5,SL,-1.0,-1000.0
2021-12-22,midnight,LONG,15954.3,15950.8,2021-12-22 00:02,2021-12-22 00:07,15954.3,15946.8,15973.05,FIXED_2.5R,2021-12-22 00:15,15946.8,SL,-1.0,-1000.0
2021-12-29,midnight,SHORT,16553.1,16548.3,2021-12-29 00:28,2021-12-29 00:31,16548.3,16554.3,16533.3,FIXED_2.5R,2021-12-29 00:35,16554.3,SL,-1.0,-1000.0
2022-01-04,midnight,LONG,16541.8,16538.8,2022-01-04 00:18,2022-01-04 00:20,16541.8,16537.5,16552.55,FIXED_2.5R,2022-01-04 02:02,16537.5,SL,-1.0,-1000.0
2022-01-05,midnight,SHORT,16212.9,16208.1,2022-01-05 00:02,2022-01-05 00:04,16208.1,16216.2,16187.85,FIXED_2.5R,2022-01-05 00:29,16187.85,TP,2.5,2500.0
2022-01-06,midnight,LONG,15657.9,15650.7,2022-01-06 00:08,2022-01-06 00:11,15657.9,15648.3,15681.9,FIXED_2.5R,2022-01-06 00:26,15681.9,TP,2.5,2500.0
2022-01-07,midnight,SHORT,15797.6,15793.2,2022-01-07 00:09,2022-01-07 00:58,15793.2,15803.7,15766.95,FIXED_2.5R,2022-01-07 01:34,15803.7,SL,-1.0,-1000.0
2022-01-10,midnight,SHORT,15644.4,15641.1,2022-01-10 00:03,2022-01-10 00:07,15641.1,15649.8,15619.35,FIXED_2.5R,2022-01-10 00:33,15649.8,SL,-1.0,-1000.0
2022-01-11,midnight,LONG,15613.2,15609.9,2022-01-11 00:04,2022-01-11 00:09,15613.2,15606.6,15629.7,FIXED_2.5R,2022-01-11 00:14,15606.6,SL,-1.0,-1000.0
2022-01-14,midnight,LONG,15510.9,15507.3,2022-01-14 00:00,2022-01-14 00:06,15510.9,15505.5,15524.4,FIXED_2.5R,2022-01-14 00:06,15505.5,SL,-1.0,-1000.0
2022-01-20,midnight,LONG,15135.4,15129.4,2022-01-20 00:01,2022-01-20 00:03,15135.4,15125.6,15159.9,FIXED_2.5R,2022-01-20 00:20,15125.6,SL,-1.0,-1000.0
2022-01-21,midnight,LONG,14661.5,14657.7,2022-01-21 00:00,2022-01-21 00:02,14661.5,14655.0,14677.75,FIXED_2.5R,2022-01-21 00:05,14655.0,SL,-1.0,-1000.0
2022-01-24,midnight,LONG,14555.8,14549.2,2022-01-24 00:17,2022-01-24 00:19,14555.8,14546.9,14578.05,FIXED_2.5R,2022-01-24 01:01,14546.9,SL,-1.0,-1000.0
2022-01-25,midnight,SHORT,14236.4,14223.6,2022-01-25 00:01,2022-01-25 00:03,14223.6,14244.4,14171.6,FIXED_2.5R,2022-01-25 00:06,14244.4,SL,-1.0,-1000.0
