date,session,direction,fvg_upper,fvg_lower,fvg_formed_time_ny,entry_time_ny,entry_price,stop,target,target_type,exit_time_ny,exit_price,exit_reason,r_multiple,pnl_usd
2026-06-08,midnight,SHORT,29174.3,29155.0,2026-06-08 00:03,2026-06-08 00:16,29155.0,29179.3,28920.1,PDL,2026-06-08 03:27,29179.3,SL,-1.0,-1000.0
2026-06-09,midnight,LONG,29554.4,29538.1,2026-06-09 00:08,2026-06-09 01:01,29554.4,29533.1,29700.8,PDH,2026-06-09 04:01,29533.1,SL,-1.0,-1000.0
2026-06-16,midnight,LONG,30504.8,30497.8,2026-06-16 00:21,2026-06-16 00:25,30504.8,30492.8,30589.8,PDH,2026-06-16 00:47,30492.8,SL,-1.0,-1000.0
2026-06-19,midnight,SHORT,30167.3,30159.0,2026-06-19 00:03,2026-06-19 00:05,30159.0,30172.3,30076.7,PDL,2026-06-19 00:06,30172.3,SL,-1.0,-1000.0
2026-06-30,midnight,LONG,29849.9,29827.5,2026-06-30 00:01,2026-06-30 01:35,29849.9,29822.5,29955.9,swing_high,2026-06-30 02:34,29822.5,SL,-1.0,-1000.0
2026-07-17,midnight,SHORT,28715.4,28704.3,2026-07-17 00:00,2026-07-17 11:55,28704.3,28720.4,28678.4,swing_low,2026-07-17 11:56,28720.4,SL,-1.0,-1000.0
2026-07-23,midnight,SHORT,28946.2,28935.3,2026-07-23 00:00,2026-07-23 00:03,28935.3,28951.2,28925.9,PDL,2026-07-23 00:05,28925.9,TP,0.591,591.19
2026-07-28,midnight,SHORT,27838.2,27834.3,2026-07-28 00:20,2026-07-28 00:46,27834.3,27843.2,27780.3,PDL,2026-07-28 00:47,27843.2,SL,-1.0,-1000.0
2026-07-29,midnight,SHORT,27559.1,27540.9,2026-07-29 00:00,2026-07-29 00:02,27540.9,27564.1,27449.4,PDL,2026-07-29 00:37,27564.1,SL,-1.0,-1000.0
2026-08-07,midnight,LONG,29393.8,29379.3,2026-08-07 00:21,2026-08-07 00:23,29393.8,29374.3,29570.2,PDH,2026-08-07 08:29,29570.2,TP,9.046,9046.15
2026-08-13,midnight,SHORT,29782.4,29774.4,2026-08-13 00:13,2026-08-13 00:28,29774.4,29787.4,29711.5,PDL,2026-08-13 00:36,29787.4,SL,-1.0,-1000.0
