date,session,direction,fvg_upper,fvg_lower,fvg_formed_time_ny,entry_time_ny,entry_price,stop,target,target_type,exit_time_ny,exit_price,exit_reason,r_multiple,pnl_usd
2026-02-23,midnight,LONG,24758.0,24753.8,2026-02-23 00:21,2026-02-23 00:23,24758.0,24748.8,25078.7,PDH,2026-02-23 10:52,24748.8,SL,-1.0,-1000.0
2026-02-24,midnight,LONG,24830.0,24824.9,2026-02-24 00:04,2026-02-24 00:06,24830.0,24819.9,24981.3,PDH,2026-02-24 00:16,24819.9,SL,-1.0,-1000.0
2026-02-25,midnight,LONG,25011.8,25008.3,2026-02-25 00:09,2026-02-25 00:11,25011.8,25003.3,25023.2,PDH,2026-02-25 00:14,25003.3,SL,-1.0,-1000.0
2026-02-26,midnight,LONG,25244.3,25238.9,2026-02-26 00:17,2026-02-26 00:31,25244.3,25233.9,25345.2,PDH,2026-02-26 04:44,25345.2,TP,9.702,9701.92
2026-03-02,midnight,SHORT,24719.6,24713.0,2026-03-02 00:04,2026-03-02 00:11,24713.0,24724.6,24610.7,swing_low,2026-03-02 01:20,24610.7,TP,8.819,8818.97
2026-03-03,midnight,SHORT,24784.6,24778.7,2026-03-03 00:10,2026-03-03 00:16,24778.7,24789.6,24569.4,PDL,2026-03-03 03:28,24569.4,TP,19.202,19201.83
2026-03-04,midnight,SHORT,24564.2,24549.2,2026-03-04 00:02,2026-03-04 00:04,24549.2,24569.2,24336.6,PDL,2026-03-04 00:42,24569.2,SL,-1.0,-1000.0
2026-03-05,midnight,SHORT,25052.9,25048.7,2026-03-05 00:15,2026-03-05 00:25,25048.7,25057.9,24792.4,PDL,2026-03-05 02:00,25057.9,SL,-1.0,-1000.0
2026-03-09,midnight,LONG,24101.2,24097.7,2026-03-09 00:06,2026-03-09 00:08,24101.2,24092.7,24889.8,PDH,2026-03-09 00:12,24092.7,SL,-1.0,-1000.0
2026-03-10,midnight,SHORT,24857.8,24852.7,2026-03-10 00:00,2026-03-10 00:02,24852.7,24862.8,24290.3,PDL,2026-03-10 00:12,24862.8,SL,-1.0,-1000.0
2026-03-12,midnight,SHORT,24720.0,24710.7,2026-03-12 00:09,2026-03-12 00:11,24710.7,24725.0,23976.8,swing_low,2026-03-12 00:19,24725.0,SL,-1.0,-1000.0
2026-03-13,midnight,SHORT,24582.6,24573.9,2026-03-13 00:21,2026-03-13 00:26,24573.9,24587.6,24520.7,PDL,2026-03-13 02:33,24520.7,TP,3.883,3883.21
2026-03-16,midnight,LONG,24528.9,24522.1,2026-03-16 00:15,2026-03-16 00:17,24528.9,24517.1,24787.0,PDH,2026-03-16 00:30,24517.1,SL,-1.0,-1000.0
2026-03-17,midnight,LONG,24582.0,24576.3,2026-03-17 00:17,2026-03-17 00:21,24582.0,24571.3,24800.2,PDH,2026-03-17 01:46,24571.3,SL,-1.0,-1000.0
2026-03-19,midnight,SHORT,24425.2,24421.1,2026-03-19 00:07,2026-03-19 00:09,24421.1,24430.2,24414.0,PDL,2026-03-19 00:10,24414.0,TP,0.78,780.22
